objectId,coord_ra,coord_dec,g_cModelFlux,r_cModelFlux,i_cModelFlux,z_cModelFlux,y_cModelFlux,u_cModelFlux,shape_xx,shape_xy,shape_yy,refExtendedness,g_mag,r_mag,i_mag,z_mag,y_mag,u_mag,u_g,g_r
609788117972429050,53.34351785948122,-28.62270268400641,3449.320068359375,5594.3798828125,6771.7900390625,7196.169921875,9540.330078125,465.18798828125,5.937839984893799,0.2001419961452484,6.8979997634887695,1.0,22.555665969848633,22.030620574951172,21.823240280151367,21.757244110107422,21.45108985900879,24.730928421020508,2.175262451171875,0.5250453948974609
609788117972429045,53.352142966578,-28.622045602924146,13168.5,24256.099609375,12708.400390625,20218.900390625,96818.796875,4515.919921875,47.29600143432617,25.32900047302246,207.16200256347656,1.0,21.101158142089844,20.437946319580078,21.1397705078125,20.635604858398438,18.935100555419922,22.263134002685547,1.1619758605957031,0.6632118225097656
609788117972429009,53.36399476343581,-28.62957028449067,714.0960083007812,1561.22998046875,4663.580078125,5636.14013671875,26789.400390625,82.37370300292969,16.343700408935547,-2.6490700244903564,15.45199966430664,1.0,24.265607833862305,23.416332244873047,22.228200912475586,22.022544860839844,20.33009147644043,26.61052703857422,2.344919204711914,0.8492755889892578
609788117972429114,53.3387509761202,-28.625349612276747,893.7769775390625,1434.510009765625,1326.43994140625,1846.5899658203125,3532.489990234375,178.1320037841797,6.51078987121582,-1.1973999738693237,10.972200393676758,1.0,24.021926879882812,23.50823974609375,23.593280792236328,23.234073638916016,22.529796600341797,25.773143768310547,1.7512168884277344,0.5136871337890625
609788117972429103,53.34095080068663,-28.625803353180988,741.0050048828125,1215.260009765625,957.7360229492188,1452.0,34.03770065307617,75.42040252685547,7.196109771728516,-1.5384600162506104,14.449700355529785,1.0,24.225446701049805,23.688325881958008,23.946884155273438,23.49508285522461,27.570098876953125,26.70627784729004,2.4808311462402344,0.5371208190917969
609788117972429524,53.35253237143047,-28.604264267823535,739.458984375,1438.969970703125,1516.3900146484375,1583.739990234375,702.718994140625,39.16510009765625,6.45451021194458,1.4720100164413452,9.44851016998291,1.0,24.22771453857422,23.50486946105957,23.44797134399414,23.400789260864258,24.283044815063477,27.41775131225586,3.1900367736816406,0.7228450775146484
609788117972429522,53.35229083914551,-28.60307019775281,903.7540283203125,1657.6600341796875,2881.949951171875,4378.68994140625,7211.8798828125,80.79789733886719,7.769690036773682,0.1254120022058487,10.862000465393066,1.0,24.009872436523438,23.351261138916016,22.750782012939453,22.29663848876953,21.754878997802734,26.631500244140625,2.6216278076171875,0.6586112976074219
609788117972419486,53.36304397594052,-28.5884183762278,1337.4000244140625,2378.889892578125,2776.35009765625,2996.800048828125,3775.25,112.86000061035156,6.274290084838867,1.3686200380325317,6.115099906921387,1.0,23.584346771240234,22.959064483642578,22.79131317138672,22.708354949951172,22.45763397216797,26.26865005493164,2.6843032836914062,0.6252822875976562
609788117972419483,53.41423924342691,-28.58875484778878,1874.52001953125,3190.419921875,3667.43994140625,4567.43017578125,3460.7099609375,651.5390014648438,7.024280071258545,0.642425000667572,8.86870002746582,1.0,23.2177734375,22.640380859375,22.489091873168945,22.25082015991211,22.552085876464844,24.365148544311523,1.1473751068115234,0.577392578125
609788117972419286,53.41374898981252,-28.602614271509644,3037.330078125,5158.009765625,5365.39013671875,5801.18994140625,12657.0,1026.449951171875,23.336299896240234,-4.840909957885742,14.85509967803955,1.0,22.693769454956055,22.118793487548828,22.07599639892578,21.991207122802734,21.14417266845703,23.871654510498047,1.1778850555419922,0.5749759674072266
609788117972418945,53.390492445086,-28.63181076646523,1632.4100341796875,2828.39990234375,7845.330078125,11526.7001953125,11329.0,556.4409790039062,11.583499908447266,0.9503769874572754,9.492630004882812,1.0,23.36792755126953,22.771146774291992,21.663471221923828,21.245737075805664,21.2645206451416,24.53645133972168,1.1685237884521484,0.5967807769775391
591818455842304929,59.01621042733469,-49.23647375485645,1085.510009765625,1778.199951171875,1843.3699951171875,1896.4599609375,2836.780029296875,51.30500030517578,4.591090202331543,0.5091379880905151,8.601590156555176,1.0,23.810914993286133,23.275047302246094,23.2359676361084,23.20513916015625,22.767934799194336,27.12459945678711,3.3136844635009766,0.5358676910400391
